brand,name,gender,family,price,description,sku,stock,status,weight,image_name
Dior,Sauvage Eau de Parfum,Men,Aromatic Fougere,89.99,"A radically fresh composition, Sauvage is both powerful and noble. Calabrian bergamot adds a juicy freshness to the composition.",PERF-0001,50,active,0.3,perfume_1.jpg
Chanel,Bleu de Chanel Eau de Toilette,Men,Woody Aromatic,95.0,An ode to masculine freedom expressed in an aromatic-woody fragrance with a captivating trail.,PERF-0002,50,active,0.3,perfume_2.jpg
Giorgio Armani,Acqua di Gio Profumo,Men,Aquatic Aromatic,92.0,"A sophisticated aquatic fragrance inspired by the sea, combining aromatic and mineral notes.",PERF-0003,50,active,0.3,perfume_3.jpg
Creed,Aventus,Men,Fruity Chypre,445.0,"A sophisticated blend of pineapple, birch, and musk. One of the most iconic men's fragrances.",PERF-0004,50,active,0.3,perfume_4.jpg
Tom Ford,Oud Wood,Unisex,Woody Spicy,250.0,Rare oud wood with exotic spices and sensual amber. A luxurious oriental fragrance.,PERF-0005,50,active,0.3,perfume_5.jpg
Yves Saint Laurent,La Nuit de L'Homme,Men,Woody Spicy,78.0,"Seductive and mysterious with cardamom, cedar, and coumarin notes.",PERF-0006,50,active,0.3,perfume_6.jpg
Versace,Eros,Men,Fresh Oriental,68.0,"Fresh, woody, and slightly oriental. Mint, green apple, and tonka bean create an unforgettable trail.",PERF-0007,50,active,0.3,perfume_7.jpg
Paco Rabanne,1 Million,Men,Woody Spicy,72.0,"Bold and powerful with cinnamon, leather, and amber. A statement of luxury.",PERF-0008,50,active,0.3,perfume_8.jpg
Jean Paul Gaultier,Le Male,Men,Oriental Fougere,65.0,"Iconic masculine fragrance with lavender, mint, vanilla, and cinnamon.",PERF-0009,50,active,0.3,perfume_9.jpg
Dolce & Gabbana,The One for Men,Men,Oriental Spicy,70.0,"Warm and spicy with tobacco, ginger, and amber notes.",PERF-0010,50,active,0.3,perfume_10.jpg
Chanel,Coco Mademoiselle,Women,Oriental Floral,105.0,"Fresh and voluptuous ambery fragrance with orange, jasmine, and patchouli.",PERF-0011,50,active,0.3,perfume_11.jpg
Dior,J'adore Eau de Parfum,Women,Floral Fruity,98.0,"Luminous and sensual, J'adore is a modern, glamorous fragrance with ylang-ylang and Damascus rose.",PERF-0012,50,active,0.3,perfume_12.jpg
Lancome,La Vie Est Belle,Women,Floral Fruity Gourmand,88.0,"Happiness in a bottle - iris, patchouli, and sweet gourmand notes.",PERF-0013,50,active,0.3,perfume_13.jpg
Viktor & Rolf,Flowerbomb,Women,Floral,95.0,"An explosion of flowers - jasmine, rose, orchid, and freesia in perfect harmony.",PERF-0014,50,active,0.3,perfume_14.jpg
Yves Saint Laurent,Black Opium,Women,Oriental Vanilla,89.0,"Addictive and daring with coffee, vanilla, and white flowers.",PERF-0015,50,active,0.3,perfume_15.jpg
Marc Jacobs,Daisy Eau de Toilette,Women,Floral Fruity,72.0,"Fresh and playful with wild berries, violet, and jasmine.",PERF-0016,50,active,0.3,perfume_16.jpg
Gucci,Bloom Eau de Parfum,Women,Floral,86.0,"Natural tuberose and jasmine create an authentic, rich floral scent.",PERF-0017,50,active,0.3,perfume_17.jpg
Carolina Herrera,Good Girl,Women,Oriental Floral,85.0,"Duality of light and dark with almond, coffee, tuberose, and tonka bean.",PERF-0018,50,active,0.3,perfume_18.jpg
